CompanyName,Industry,Symbol,Series,ISIN Code


# Comment with # for not required companies
ASHOKLEYLANDLTD,AUTOMOBILE,ASHOKLEY,EQ,INE028A01039
AUROBINDOPHARMALTD,PHARMA,AUROPHARMA,EQ,INE271C01023
AXISBANKLIMITED,FINANCIAL SERVICES,AXISBANK,EQ,INE326A01037
BAJAJFINANCELIMITED,CONSTRUCTION,BAJFINANCE,EQ,INE883A01011
BANKOFBARODA,PHARMA,BANKBARODA,EQ,
BHARTIAIRTELLIMITED,AUTOMOBILE,BHARTIARTL,EQ,
CANARABANK,AUTOMOBILE,CANBK,EQ,
CIPLALTD,PHARMA,CIPLA,EQ,
COALINDIALTD,FINANCIAL SERVICES,COALINDIA,EQ,
#   DEWANHOUSINGFINCORPLT,CONSTRUCTION,DHFL,EQ,
DLFLIMITED,PHARMA,DLF,EQ,
DR.REDDY'SLABORATORIES,AUTOMOBILE,DRREDDY,EQ,
HDFCBANKLTD,AUTOMOBILE,HDFCBANK,EQ,
Hindalco Industries,Metal,HINDALCO,,
HDFCLTD,PHARMA,HDFC,EQ,
HINDUSTANPETROLEUMCORP,FINANCIAL SERVICES,HINDPETRO,EQ,
HINDUSTANPETROLEUMCORP,FINANCIAL SERVICES,HINDUNILVR,EQ,
ICICIBANKLTD.,CONSTRUCTION,ICICIBANK,EQ,
INDIANOILCORPLTD,PHARMA,IOC,EQ,
INDUSINDBANKLIMITED,AUTOMOBILE,INDUSINDBK,EQ,
INFOSYSLIMITED,AUTOMOBILE,INFY,EQ,
ITCLTD,PHARMA,ITC,EQ,
JINDALSTEEL&POWERLTD,FINANCIAL SERVICES,JINDALSTEL,EQ,
JSWSTEELLIMITED,CONSTRUCTION,JSWSTEEL,EQ,
LUPINLIMITED,PHARMA,LUPIN,EQ,
#   MAHINDRA&MAHINDRALTD,AUTOMOBILE,M&M,EQ,
MARUTISUZUKIINDIALTD.,AUTOMOBILE,MARUTI,EQ,
OILANDNATURALGASCORP.,PHARMA,ONGC,EQ,
PUNJABNATIONALBANK,FINANCIALSERVICES,PNB,EQ,
RELIANCEINDUSTRIESLTD,CONSTRUCTION,RELIANCE,EQ,
STATEBANKOFINDIA,PHARMA,SBIN,EQ,
STEELAUTHORITYOFINDIA,AUTOMOBILE,SAIL,EQ,
SUNPHARMACEUTICALINDL,AUTOMOBILE,SUNPHARMA,EQ,
TATACONSULTANCYSERVLT,PHARMA,TCS,EQ,
TATAMOTORSLIMITED,FINANCIAL SERVICES,TATAMOTORS,EQ,
TATASTEELLIMITED,CONSTRUCTION,TATASTEEL,EQ,
TECHMAHINDRA,IT,TECHM,EQ,
VEDANTALIMITED,PHARMA,VEDL,,
YESBANKLIMITED,AUTOMOBILE,YESBANK,,
